абитуриент	entrant
окупить	recoup
окутывать	shroud
олицетворение	embodiment
олицетворять	embody
олово	tin
омерзительный	disgusting
омовение	ablution
ондатра	muskrat
онемелый	numb
опалить	scorch
опасаться	apprehend; beware
опасность	menace; threat
опека	custody; ward
опекун	custodian
опекунский	custodial
операбельный	operable
опередить	get ahead
оперение	feather
опираться	lean
описание	presentment
описательный	descriptive
описать	delineate
описывать	depict; portray
оплакивать	lament; wail; mourn
оплата	remuneration
оплачивать	defray
оплошность	oversight
оповещать	warn
оппортунизм	expediency
оправдание	apology
оправданный	justified
оправдать	acquit
оправдывать	justify
определенно	unequivocally; precisely
определенный	certain; precise
определять	determine
опровергать	negate; refute; contradict
опровержение	denial
опрокидывать	tilt; topple
опрометчивый	rash; reckless
опрометью	headlong
опрос	poll; survey
опрятно	neatly
опрятный	neat; tidy
оптовая торговля	wholesale
оптовый	wholesale
опубликовывать	promulgate
опустошать	devastate; ravage
опустошенный	exhausted
опустошительный	devastating
опухоль	tumor
опытность	proficiency
опытный	experienced; proficient; seasoned
опять	anew
орать	roar
орда	hoard
ордер на обыск	search warrant
ореол	halo
оригинальный	seminal
ориентир	benchmark
ориентировочно	tentatively
осадки	precipitation
осадок	precipitation; sediment; sludge; precipitate
осаждаться	precipitate; sediment
осанка	posture
осведомитель	snitch
осведомлять	whistleblow
освежитель	freshener
освещение в печати	coverage
освобождать	absolve; discharge; exempt; release; rid; loose; relieve; redeem; dismiss
освобождать за выкуп	ransom
освобождение	exemption; redemption
оседлать	saddle
осина	aspen
осколок	shard; splinter
оскорбительно	obnoxiously
оскорбительный	offensive
оскорбление	slur; insult; invective; wound
оскорблять	insult; humiliate; abuse; offend
ослабевать	languish; relent
ослабить	loosen
ослабление	attenuation
ослаблять	impair; weaken; abate; ease; erode; slack; extenuate; reduce
ослепительный	dazzling; glaring
ослепительный блеск	glare
осмеливаться	dare
осмотр	scrutiny
осмотреть	inspect
осмотрительно	cautiously; discreetly
осмотрительность	prudence
основанный на сговоре	collusive
основательно	thoroughly
основательный	profound
основная масса	bulk
основная проблема	crux
основной	staple; principal
основной продукт	staples
особенно	predominantly
особенность	trait
особенный	peculiar; particular
осознавать	perceive
осознание	perception
осознанный	conscious
оспаривать	litigate; dispute
оспина	pock
оставаться	remain; remain; stand
оставаться при своих	break even
оставлять	abandon; forsake
оставлять (след)	etch
оставлять по завещанию	bequeath
останавливать	cease; halt
остановить	detain; pull up
остановка	halt; layover
остаток	leftover; surplus; residual
остаточная стоимость	salvage value
остаточный	residual
остаточный продукт	residual
остерегаться	beware; shun
осторожно	discreetly; gently; cautiously
осторожность	caution; discretion
осторожный	prudent
острие	spearhead
острота	acuity
острота ума	acumen
остроумие	wit
остроумный	facetious
острый	acute; keen; sharp
острый выступ	cusp
оступаться	stumble
осудить	convict
осуждать	condemn; castigate; deprecate
осуждение	condemnation; conviction
осужденный	convict
осушать	drain
осуществимый	feasible
осуществление	fruition
осуществлять	implement; carry out; enforce; exercise
осуществлять руководство	preside
ось	axis
осязаемо	palpably
от имени	behalf
от лица	behalf
отбивная	chop
отбить	recapture
отборный	exquisitely
отбрасывать	discard
отвага	valor
отважиться	dare
отважно	boldly
отважный	daring; plucky
отведение мышц	abduction
отвергать	reject; refuse; turn down; disapprove; forsake
отверстие	aperture
отвесно	sheer
отвесный	precipitous; steep; upright
ответить	retaliate
ответная мера	reprisal
ответный удар	retaliation
ответственность	accountability; responsibility
ответственный	liable
ответчик	defendant
отвечать взаимностью	reciprocate
отвлекать	divert
отвлечь	distract
отвлечься	digress
отводить	divert
отводить мышцу или конечность	abduct
отвоевывание	recapture
отвратительный	disgusting; execrable; hideous; sordid; abominable; nauseous; repulsive; filthy
отвратительный человек	toad
отвращать	avert
отвращение	abjection; hatred
отвязаться	get rid of
отговорить	discourage
отговорка	pretext
отдавать должное	give credit
отдавая ему должное	giving the devil his due
отдаленный	distant
отдача	recoil; backfire
отделаться	get rid of
отделение	compartment
отдельно	apart; aside
отдельный	sporadic
отдельный случай	instance
отделять	seclude; sever
отдушины	vents
отдых	repose
отдыхать	repose
отец	sire
отжиматься	push up
отзывать	revoke; recall
отказ	denial; disclaimer; rejection
отказ от ответственности	disclaimer
отказать обломать	turn me down
отказаться	renounce; relinquish
отказывать	refuse; reject
отказывать наотрез	rebuff
отказываться	forego; forgone; turn down; waive; discard; disown; resign; abandon; deny
отказываться от своего мнения	recant
откладывание	deferment
откладывать	defer; postpone; shelve; shelve; suspend; delay
откладывать(деньги)	save up
отклонение	rejection
отклонить	decline
отклонять	divert; deflect; reject
отклоняться	deflect; deviate; digress; drift
отклоняться от нормы	deviate
отклоняющийся	divergent
отключиться	faint
откос	derail
откровение	epiphany; revelation
откровенно	frankly; blatantly; downright; outright
открывать	detect; innovate; reveal
открытие	revelation
открыто	outright; broad
открытое место для встреч людей	concourse
открытый	undisguised
откусывать	nibble
отличать	distinguish
отличаться	diverge
отличие	distinction
отличный	divergent
отложение	sediment
отмена	defeasance; reversal
отменять	revoke; remit; abolish
отмщение	revenge
отнимать	deduct; deprive; withdraw
относительно	as to; relatively
относиться	relate; pertain
относиться с презрением	despise; scorn
относиться с пренебрежением	snub
относящийся к делу	relevant; pertinent
относящийся к тюремному заключению	custodial
отношение	attitude; regard; respect
отныне	henceforth
отодрать	tear off
отождествлять	equate
отозвание	revocation
отомстить	avenge
отпираться	deny; disavow
отплачивать	retaliate
отпор	rebuff
отправление	take-off
отправляться на корабле	embark
отправная точка	commencement
отпрыск	offspring; descendant
отпугивание	deterrence
отпугивать	deter
отпуск	holiday; vacation
отпуск по беремености	maternity leave
отпускать	dismiss; release
отпускать (грех)	absolve
отпускать грехи	remit
отражать	reflect; reverberate; repel
отражаться	reflect
отрекаться	disown; recant; retract; renounce; swore off
отрекаться(от престола)	abdicate
отречение	disclaimer; renounce
отречься	abdicate
отрицание	negation; denial
отрицательная сторона	drawback
отрицать	deny; disavow; disown; negate
отрыв	avulsion
отрывать	tear off
отрывок	excerpt
отрыжка	burp
отряд	platoon
отсеивать	sift
отсек	compartment
отслаивание	flaking
отслеживаемость	traceability
отслеживать	follow up
отсрочивать	defer; postpone
отсрочка	deferment; deferral; respite
отсрочка платежа	deferral
отставание	lagging
отставка	resign
отступ	indentation
отступать	retreat; shy; digress
отступление	retreat
отступник	defector
отсутствие	absence; lack; deficiency
отсутствовать	absent
отсутствующий	absent
отсюда	hence
оттаивать	thaw
отталкивать	repel
отталкивать шестом	pole
отталкивающий	repulsive; execrable
оттенок	hue; hint
оттепель	thaw
отток	drain
отточить	hone
оттуда	thence
оттягивать	postpone
отчасти	somewhat; partially
отчаяние	despair
отчаянно	desperately
отчаянный	desperate
отчетливо	distinctly
отчетливый	distinct
отчитать	reproach; rebuke
отчуждение собственности	divestiture
отчужденный	aloof; estranged
отшельник	hermit
отъявленный	egregious
отягчать	aggravate
официальное право на что-либо	entitlement
официальное утверждение завещания	probate
оформление	incorporation
охват	incidence
охватить	grasp
охватывать	encompass; encircle; span
охотиться	prey; chase
охотнее	rather
охотно	cheerfully
охранник	caretaker; watchman
охрипший	husky; hoarse
оценивать	appraise; appreciate; assess; estimate; evaluate; gauge
оценка	assessment; appraisal; grade; estimate
оценочные резервы	valuation allowance
оцепенение	stupor
очаг	hearth
очарованный	smitten
очаровательный	fascinating
очаровывать	enchant
очевидец	bystander; witness
очевидно	apparently; evident
очевидный	apparent; overt; flagrant; evident
очень	greatly; plenty
очень маленький	miniscule; tiny; teeny-tiny
очень сильно	desperately
очертание	outline; shape
очищать (корабль от ракушек)	bream
очищение	scrape
ошеломленно	dazedly
ошеломлять	bemuse; overwhelm; stagger; stun
ошибаться	stumble
ошибка	blunder; fallacy; slip
ошибочный	erroneous
ощупывать	grope
ощутимо	palpably
ощутимый	perceptible
ощущать	perceive
ощущение	impression; perception
пагубный	pestilent
падаль	carrion
падальщик	scavenger
падать	topple; tumble
падать каплями	drip
падение	debacle; decline
паз	notch
пакет	bundle; pack
паковать	pack
палата	ward
палец (ноги)	toe
палочка	wand
палуба	deck
пальма	palm
пальто	coat; overcoat
памятник	monument
память	mind
пандус	ramp
паническое бегство	stampede
папаша	guv
папоротник	fern
паразит	vermin
парень	chap
парик	wig
парировать	retort
парить	soar; float
парнишка	lad
партия	batch
партия товаров	consignment
парусник	sailer
парусное судно	sailer
паршивец	brat
пассивный	sluggish; floppy
пастбище	pasture
паства	flock
пасти	pasture; shepherd
пастись	pasture
пастух	shepherd
пасущееся животное	grazer
патрон	cartridge
пауза	hiatus; intermission
пах	groin
пахать	plow
паховая область	groin
пахотный	arable
пациент	patient
пачка	wad; bunch
пачкать	soil
педант	prig
пейзаж	scenery
пекарня	pastry
пелена	pall
пеленать	swaddle
пена	foam; froth; lather
пениться	foam; froth
пень	stump
первенство	precedence
первопричина	principle
перебежчик	defector
перебивать	interpolate; interrupt
перевернуть	flip
перевес	preponderance; overweight
перевозить в фургоне	wagon
переворот	overturn; upheaval; takeover
перегиб	inflection
переговоры	negotiation
перегонять	surpass
перегружать	congest
передавать	convey; hand over; cede; conducting
передавать в субаренду	sublet
передавать другому	hand over
передавать потомству	bequeath
переделывать	alter
передний	fore
передний зуб	incisor
передник	apron
передняя часть	fore
передышка	hiatus; respite; truce
переехать	run over
пережевывать пищу	chew
пережиток	leftover
пережить	get over
перекашивать	skew
перекладина	beam
перекликаться	resonate
переключатель	knob
перекресток	intersection; junction
перекрывать	overlay; span
перекрытие	overlap; overlay
перелив	spillover
перелом	fracture
переломный	watershed
переменчивый	fickle
перемещение	shift; displacement; permutation
перемирие	truce
перенос	carryforward
перенос сальдо	carryforward
переносить	undergo; postpone
переобучать	retrain
переоценивать	overestimate
переоценить	overstate
перепелка	quail
переписываться	correspond
переподготовка	retrain
переполнять	congest
перепроизводство	overcapacity
перепрыгивать	leap-frog
перерезать	slit
перерыв	intermission
пересадка	layover
пересечение	intersection; junction; overlap
пересечение дорог	junction
пересиливать	overbear
переставать	cease
перестраивать	overhaul
перестрелка	firefight
пересчитывать	recount
перехват	tackle
перехитрить	circumvent
переход вброд	wade
переходный	intervening
переходящий остаток	carryforward
перечень	enumeration
перечисление	enumeration
перечислять деньги	remit
перещеголять	outdo
перила. рельсы	railing
периметр	circumference
периферийный	peripheral
перо	feather; quill
перспектива	perspective
пестрый	motley
песчаный	gritty
петля	hinge; loop
петух	rooster
печалиться	mourn
печаль	sadness; sorrow; grief
печальный	grievous
печать	seal
печенье	pastry
печка	stove
печь	bake; furnace; stove
пещера в скале	cove
пик	crest; pinnacle
пика карт.масть	spade
пила	saw
пилить	saw
пиломатериалы	lumber
пирушка	carousal
писать быстро и небрежно	scribble
писк	squeak
письменная доверенность	letter of attorney
питать	nourish; nurture
питать отвращение	abominate
питомник	nursery
пить большими глотками	swig
пихать	shove
пищать	squeak
пищеварение	digestion
плавать (о курсе валют)	float
плавильная печь	smelter
плавиться	fuse; melt
плавник	fin
плавно	seamlessly
плавно двигаться	glide
плавность	evenness
плавный	smooth
плавучий	buoyant
плакать	weep
плаксивый	whiny
план	blueprint; proposal
планировать	intend
пластырь	plaster
платежеспособность	solvency
платная дорога	tollway
платок	handkerchief; shawl; wrap
платье	frock; gown
платяной шкаф	wardrobe
плаха	scaffold
плач	weeping
плащ	cloak; coat
плебей	pleb
плевать	spit
плевок	spit
плед	rug
племя	breed
племянник	nephew
племянница	niece
плен	captivity
плесень	mould
плести	wattle
плетень	wattle
плита	stove
плитка	tile
плитка шоколада	bar
плод	fetus
плодородие	richness
плоскогубцы	plier
плоскодонное судно	pram
плоскость	platitude
плотина	weir; barrage; embankment
плотно	densely; tight
плотность	density
плотоядный	carnivorous
плохо обращаться	abuse
плохой	nasty
плуг	plow
плут	deceiver; knave
плыть	float
по видимости	ostensibly
по мере необходимости	as appropriate
по моему мнению	as for me
по очереди	alternately
по правде говоря	truth be told
по сути	virtually
по-видимому	seemingly; apparently; presumably
по-моему	from my perspective
по-прежнему	still
победа	conquest
побеждать	vanquish; conquer; defeat
поблескивать	gleam
побороть	overcome
побочный	collateral; lateral; spillover
побрякушки	bling
побуждать	nudge; propel; induce; instigate; excite; spark; spur
побуждение	urge; incentive; inducement
поведение	behaviour; conduct
поверенный	attorney
поверхностный	superficial; frivolous
повесил	hung
повесить	hang up
повествовательный	narrative
повестка дня	agenda
повесть	narrative
поветрие	pestilence
повиноваться	obey
повиновение	obedience
повод для недовольства	grievance
поводья	rein
повозка	wagon
поворачивать	swivel
поворот	bend; twist
поворотный пункт	cusp
повреждение	impairment; lesion
повсеместно	across
повсеместный	ubiquitous
повстанец	insurgent
повсюду	throughout
повторение	rehearsal; recap
повторять	go over; reiterate
повторяться	recur
повысить	promote
повышение	boost; raise
погашать	redeem
погибать	perish; succumb
погладить	caress
поглаживать	stroke
поглотитель	scavenger
поглощать	devour
поглощение	takeover; absorption; acquisition; merger
поглощенный чем-л.	absorbed
поговорка	adage
погоня	chase
погреб	cellar
погребение	interment
погружать	immerse
погружаться	plunge; sink
погружение	dip
погрязать	wallow
под	beneath; underneath
под наркозом	sedated
подавать в суд	sue
подавать жалобу	complain
подавленность	hang-up
подавлять	suppress; inhibit; overbear; quell; subdue; vanquish
подавляющее большинство	vast majority
подарок	gratuity
податливый	malleable; amenable; compliant
подачки	handouts
подаяние	alms; handouts
подвал	cellar
подвергание	exposure
подвергать	expose
подвергать действию	expose
подвергать опасности	imperil; jeopardize
подвергаться	incur; undergo
подвести итог	conclude
подвешивать	hang
подвиг	feat; deed
подвижность	agility
подвижный	limber
подводные аппараты	submersibles
подводный камень	pitfall
подвыпивший	merry; tipsy
подглядывать	peek
подготовительный	preliminary
подготовка	preparation
поддаваться	succumbing; weaken
поддаться	succumb
поддающийся	amenable
подделка	bogus; forgery
подделывать	forge
поддельный	spurious
поддержал	sided
поддержание	maintenance
поддерживать	bolster; maintain; shore; sustain; uphold; encourage; keep up
поддерживать отношения	converse
поддерживать связь	liaise; get in touch
поддержка	maintenance; aid
поджелудочная железа (анат.)	pancreas
поджог	arson
подкрадываться	creep; crept
подлежащий доставке	deliverable
подлец	scoundrel
подлиза	weasel
подлизываться	fawn; curry favor
подлинность	authenticity
подлинный	legit; genuine; sincere
подло	meanly
подлог или подделка документа	forgery
подлость	meanness
подмастерье	apprentice
подменять	substitute
подметать	sweep
подмости	scaffold
подмышка	armpit
поднимать	heave; hoist; raise
подниматься	climb
поднос	tray
поднятие	raise
подняться	ascend
подобие	kinship
подобно	likewise
подозревать	suspect
подозрительность	jealousy
подозрительный	suspicious; suspect
подоконник	windowsill
подол	hem; lap
подонок	schmuck
подопечный	ward
подотчетность	accountability
подпирать	shore
подписать	sign off
подпрыгивать	bounce
подражать	imitate; impersonate
подразумеваемый	tacit
подразумеваемым образом	tacitly
подразумевать	imply; intend
подрезать (деревья)	prune
подробно	circumstantially
подробно излагать	recount
подробный	explicit; verbose
подросток	adolescent; lad
подругому	otherwise
подрывать	undermine
подрывающий	disruptive
подряд	successively
подсказка	prompt; hint; tip
подставка	rack
подставное лицо	shill
подстрекательство	inducement
подстрекать	incite; instigate
подсудимый	defendant
подсчитывать	tally
подталкивать	nudge; instigate
подтверждать	affirm; acknowledge; attest; endorse; justify; prove; substantiate
подтверждение	evidence
подтирать	mop
подтягиваться	pull up
подход	approach
подходить	approach
подходящий	eligible; appropriate; decent; likely
подходящий друг другу	compatible
подчинение	obedience
подчиненный	inferior
подчинять	compel; subject; subdue
подчиняться	obey; abide; comply
подшить	hem
подъезд	porch
подъем	surge; take-off
пожалеть	take pity
пожизненная рента	perpetuity
пожизненный	perpetual
пожинать	reap
пожинать плоды	reap
пожирать	devour; gobble
поза	posture; stance
позволение	permission
позволить себе	afford
позволять	indulge; afford; permit
позвоночник	spine
позвоночный	vertebrate
позднее	subsequently
позже	afterwards
позиция	stance; attitude
познакомить	acquaint
познание	cognition
позор	stain
позорный	infamous
пойло	swill
пока	whilst
пока все в порядке	so far; so good
пока все хорошо	so far; so good
показал	revealed
показание	testament
показное проявление	ostentation
показуха	ostentation
показывать	show up; exhibit; reveal; approve
покачивание	jiggle
покачивать	jiggle; wiggle
покаяние	repentance
покаяться	repent
покидать	forsake; abandon; abandon
покидать в беде	ditch
покинутый	derelict; forlorn
поклонник	aficionado; addict
поклоняться	venerate; worship
покой	repose
покойный	decedent
поколебать	shatter
покорение	conquest
покорный	submissive; docile; obedient
покорять	subdue; conquer
покраснеть	blush; flush
покров	blanket; pall; veil
покрывать	defray; span; spread; cover
покрывать издержки	defray
покрывать мхом	moss
покрывать пятнами	measle
покрывать расходы	break even
покрытие	coating; coverage
покупатель	emptor
покушаться	impinge
полагать	deem; figured; opine; reckon; presume; suspect; consider
полагаться	rely
полемика	controversy
полено	log
ползать	creep
ползти	crawl; crept; scramble
поливать	pour
полировать	furbish
полировка	buffing
политика	policy
политика подтасовки выборов	caucus
полицейская дубинка	baton
полицейский участок	precinct
полка	shelve
полноводный	affluent
полное изменение	reversal
полномочие	authority
полнота	obesity
полный	fraught; overall; utter; comprehensive; entire; exhaustive; thick
полный рот	mouthful
положение	posture; stance
положил	laid
положительный	affirmative
положить	lay
положить трубку	hang up
поломка	breakage
поломка механизма	breakdown
полоса	stripe
полоска	ribbon
полость	cavity
полотно	cloth
полукруг	semicircle
полуприсесть	crouch
полуразвалившийся	dilapidated
получать	gain; obtain; acquire
получить	retrieve
полчище	hoard
полый	hollow
польза	sake; advantage; avail
полюс	pole
поляна	meadow
померещиться	seem
поместье	estate
помеха	hindrance; impediment; encumbrance; nuisance; obstacle; clog
помехи	clutter
помечать	label
помешанный	obsessed
помешать	disrupt; thwart
помещение	placement
помещик	landlord
помимо	besides
поминки	wake
помнить	reminiscent
помогать	serve; aid; relieve
помои	swill
помолвка	engagement
помолвленный	betrothed
помолиться	pray
помощник	deputy
помощь	aid; alimony; favor
помпа	pump
понемногу	gradual
понижать	relegate; reduce
понижение	reduction; descent
понизить	demote
понимание	insight; consciousness; sense; grasp; perception
понимать	comprehend; conceive; perceive; fathom; grip
понимающий	intelligent
понятие	notion
понять	grasp; discern
поодаль	aloof
поощрять	encourage
поперек	aslant; across
попеременно	alternately
поперечный	lateral
попечение	custody; charge
попечительская обязанность	fiduciary duty
поплавок	cork
попойка	carousal
пополнить	replenish
пополнять	replenish
поправить	rectify; tweak
поправиться	recover
поправка	amendment
попустительствовать	condone
попутно	along
попытка	tentative; endeavor; attempt
поражать	struck; astonish; overwhelm
поражение	defeat; lesion; rout
поразительный	fabulous; remarkable
поразить	smite
порез	laceration
порицать	deplore; condemn
поровну	evenly
порог	porch; boundary
порода	breed
порождать	generate; spawn
порок	vice
поросенок	piglet
порочность	turpitude
порочный	vicious
портачить	bungle
портить	spoil
портиться	perish; spoil; deteriorate; rot
портной	tailor
портфель	briefcase
поручать	commission; entrust
поручение	errand; commission
поручительство	surety; bail
поручиться	vouch
поручни	railing
порыв	gust; rush
порыв ветра	gust
порядочно	decently
порядочность	decency
порядочный	decent
посвящать	dedicate; devote
посвященный	dedicated; privy
посев	crop
посещать	attend
посланник	envoy
после	upon; past
после этого	thereafter
последователь	proponent
последовательно	successively
последовательный	consecutive; consistent; serial; gradual; coherent
последствие	aftermath; consequence; outcome
последующие поколения	posterity
последующий	ensuing; subsequent
пословица	adage
послушание	obedience
послушный	docile; obedient; abiding
посмертно	posthumously
посмертный дар	bequest
поспешность	haste
поспешный	rash
посреди	midst
посредник	intermediary; liaison
посредничество	intercession
посредственный	mediocre; inferior
посредством чего	whereby
пост	fast
поставить под угрозу	jeopardize
поставка	procurement
поставлять	supply; cater
постановление	bylaws
постель	sack
постепенно	gradual
постепенно исчезать	fade
постепенно уменьшать	erode
постепенный	gradual
постигать	conceive; comprehend
поститься	fast
постный	lean
постольку	insofar
посторонний	extraneous
постоянно	constantly
постоянно думать	obsessed
постоянное местожительство	domicile
постоянный	abiding; continious; ongoing; steady
пострел	urchin
построение	formation
построить	buildup
постукивание	tap
поступать	behave
поступки	behaviour
поступок	deed
постыдный	infamous
посуда	utensil
посыпать	dredge; sprinkle
посыпка	sprinkle
посягать	encroach; impinge
потворствовать	cater; encourage
потепление	thaw
потерпевший неудачу	busted
потертость	attrition
потертый	worn out
потихоньку	silently
поток	current; tide; pour
потолок	ceiling
потом	afterwards
потомок	descendant
потомство	posterity; spawn; offspring
потоп	deluge
потрепанный	battered; bedraggled
потрясать	overwhelm
потрясающий	terrific; breathtaking; incredible
потрясение	upheaval
потухший	extinct
потягивать	sip
поучать	preach
поучение	homily
поучительный	enlighten
похвала	kudo; approbation; praise
похищать	abduct
похищение	abduction
похмелье	hangover
походить	resemble
походка	gait
похоже	seem
похожесть	resemblance
похожий	akin
похоронить	bury
похороны	interment
похотливый	lascivious; lewd
початок	cob
почва	soil
почему-то	somehow
почерпнуть	glean
почести	laurels
почет	esteem
почечная лоханка	pelvis
почечный	kidney
почистить	brush
почитать	worship
почка	bud; kidney
почковаться	bud
почтение	esteem; homage
почтенный	venerable
почти	almost
пошатываться	lurch
пошлина	toll
пошлость	platitude
пощадить	spare
пощечина	slap
поэтому	therefore
появляться	emerge
поясница	loin
правда	sooth
правдивость	veracity
правдивый	honest; sincere
правдоподобие	verisimilitude; credibility
правдоподобность	likelihood
правдоподобный	plausible; reliable
правила	policy
правило	rule
правильно	properly
правильность	accuracy
правильный	proper
править	govern; rule
право удержания	lien
правомерный	justified
правонарушение	delinquency
правонарушитель	delinquent; offender
правопреемник	successor
правоприменение	enforcement
правосудие	justice
праздник	holiday
празднование	feast
празднование новоселья	housewarming
праздный	idle
практически	virtually
практически осуществимый	viable
прапорщик	ensign
прародитель	ancestor
пребывание в должности	tenure
пребывать в прежнем состоянии	remain
превалировать	prevail
превзойти	outdo
превозносить	extol; praise
превосходительство	excellency
превосходить	outperform; surpass; exceed; precede; surpass; outdo
превосходно	superb
превосходный	superb
превосходство	superiority; excellency; precedence; preponderance
превосходящий других	preeminent
превращать в лом	scrap
превращаться в пар	evaporate
превышать	exceed
преграда	obstacle
преграждать	obstruct
преграждать путь	bar
предавать	betray
предаваться	indulge
преданность	allegiance; fidelity
преданный	dedicated; faithful
преданный идее	committed
предатель	traitor
предательский	telltale
предательство	treachery; treason
предать забвению	bury
предварительная очистка	preclearance
предварительное условие	prerequisite
предварительный	preliminary; provisional; prior
предварительный досмотр	preclearance
предвестник	harbinger
предвещать	omen
предвзятое мнение	prejudice
предвзятость	bias
предвзятый	preconceived
предвидеть	anticipate
предвкушение	anticipation
предел	boundary
пределы	extent
предзнаменование	omen
предисловие	preface
предлагать	propose; suggest
предлог	pretext
предложение	proposal; sentence; clause
предложил	pitched
предместье	faubourg
предместья	outskirt
предмет	subject; object
предмет гордости	boast
предмет одежды	garment
предмет поставки	deliverable
предмет потребления	commodity
предназначать	allot; dedicate
предназначение	designation
предназначенный	destined
преднамеренный	deliberate
предок	ancestor; predecessor; sire
предоставление	provision
предоставленный на собственное усмотрение	discretionary
предоставлять	grant; confer
предостерегать	warn
предостережение	caution; caveat
предосудительный	reprehensible
предотвращать	avert; prevent; preclude
предохранитель	fuse
предписание	injunction; prescription
предписывать	enjoin; prescribe; enact
предплечье	forearm
предполагаемый	prospective; probable
предполагать	assume; presume; conjecture; imply
предположение	assumption; premise; presupposition; conjecture; presumption
предположительно	presumably
предпоследний	penultimate
предпосылка	prerequisite; presupposition; premise
предпочтение	inclination
предпочтительно	rather
предпринимать	undertake
предприятие	undertaking
предрасположенность	propensity
предрасположенный	prone
предрассудок	prejudice
председательствовать	preside
предсказание	projection
предсказывать	predict
представитель низких слоев	pleb
представительный	portly
представление	insight; presentment
предстоящий	forthcoming
предубеждение	bias; prejudice
предугадывать	divine
предупреждать	warn; prevent
предупреждение	caution
предусматривать	stipulate
предусмотрительный	prudent
предчувствие	anticipation
предчувствовать	anticipate; apprehend
предшевствовать	forego
предшественник	precursor; predecessor; harbinger
предшествовать	precede; predate
предшествующий	preceding; prior
предъявлять иск	sue
предъявлять обвинение	indict; accuse
предыдущий	preceding
преемник	successor
прежде	hitherto; erstwhile
прежде всего	foremost
преждевременно	prematurely; beforehand
прежний	prior
презирать	despise; disdain; scorn
презрение	contempt; disdain; scorn; despite
преимущественно	predominantly
преимущество	advantage; excellence; virtue
преклир	preclear
преклонять колени	kneel
прекрасный	gorgeous; terrific
прекратить	terminate; detain
прекращать	cease; discontinue
прекращение	halt
прелюбодейный	adulatory
премия	reward
пренебрегать	neglect; disregard; omit
пренебрежение	disdain; disparage; scorn; disregard; negligence; neglect
преобладание	prevalence; preponderance
преобладать	predominate; prevail
преобладающая черта	ethos
преодолевать	get over; vanquish
преодолеть	overcome
преосвященство	eminence
препятствие	hurdle; obstacle; hassle; hindrance; impediment
препятствовать	hamper; hinder; impede; prohibit; clog; forbid; inhibit; preclude; prevent; encumber
прерывать	disrupt; interrupt; discontinue
прерывистый	intermittent
пресекать	suppress
преследование	pursuit
преследовать	prosecute; pursue; chase; haunt
преследовать судебным порядком	prosecute
пресмыкаться	crouch
пресный	bland
преступать	violate
преступник	perpetrator; felon; outlaw; villain; culprit; delinquent
пресыщение	satiety
претендует	applying
претерпевать	undergo
преувеличение	exaggeration
преувеличивать	exaggerate; overstate
преувеличивать достоинства	flatter
преуменьшать	lessen; underestimate
преуспевать	succeeds; thrive
при прочих равных условиях	ceteris paribus
прибавление	augment
прибегать	resort
прибежище	haunt; resort
приближаться	close in; impend; verge; approach
приблизительно	roughly; more or less
приблизительный	ballpark
приблизиться	close in
прибор	appliance
прибрежная полоса	strand
прибыльный	lucrative
прибытие	advent
привал	halt
приверженность	adherence
приветливо	affably; amiably
приветливый	affable
приветствовать	hail; acclaim
привилегия	privilege
привить	instill; instill
привлекать	appeal
привлечение	attraction
привлечь	draw; entice
приводить в замешательство	abash; embarrass; gravel
приводить в качестве отговорки	pretext
приводить в порядок	tidy
приводить в ужас	horrified
приводить в ярость	enrage
приводящий в ярость	infuriating
приворовывать	pilfer
привратник	janitor
привыкать	accustom
привыкать к	get used to
привычки	habits
привычно	habitually
привычный	customary
привязанность	affection
привязывать	fasten
привязывать канатом	rope
приглашать на работу	hire
приглушенный звук	muffle
приговор	judgement; sentence; condemnation
пригодность	aptitude
пригодный	viable
пригонять	adjust
пригород	faubourg; neighborhood
приготовление	preparation
придавать форму	shape
приданое	dowry
придаток	appendage
придворный	courtier; court
придира	nagger
придираться	haggle
придирчиво	meticulously
придирчивый	cantankerous; picky
придонные	demersal
придонный	demersal
придумать	come up with; devise
придумывать	invent; make up
придурок	douchebag; prick
приедаться	pall
приемлимый	reasonable
прижиматься	cuddle; huddle
призвание	vocation
приземистый	squat
признавать	acknowledge; concede; admit
признание	respect
признание виновным	conviction
признательность	gratitude
признательный	grateful
признать виновным	convict
признаться	confess
призыв	exhortation; plea; appeal
призывать	invoke
приказчик	counterman
прикалывать	pin
прикарманивать	cabbage
прикидываться	pretend
приклеивать	stuck
прикрепить	append
прикреплять	fasten
прилавок	counter
прилагать усилия	strive; endeavor
прилаживать	adjust
прилегать	adjoin
прилегающий	contiguous
прилежание	diligence
прилежащий	adjacent
прилежно	diligently
прилипчивый	clingy
приличие	decency
приличия	decorum
прилично	decently
приличный	decent
приложение	appendage; supplement
приложить	enclose
приманивать	decoy
приманка	bait; lure; hook; decoy
применение	applying
применять	apply; employ; exercise
пример	instance
примерное количество	ballpark
примесь	alloy
примечательно	noteworthy
примечательный	noteworthy
примирение	conciliation
примирить	reconcile
примитивный	vestigial
принадлежать	belong; pertain
принадлежности	accessory
принижать	detract; disparage
приниженность	abjection
принимать	assume
принимать во внимание	take into account; heed; consider
принимать гостей	host
приносить	yield
приносить в жертву	sacrifice
приносить извинения	apologize
приносить присягу	pledge
принудительный	coercive; compulsory; forced; mandatory
принуждать	coerce; compel; enforce
принуждение	duress; enforcement
